id_familia,idade,sexo,escolaridade,renda_familiar,qtd_pessoas_familia,possui_deficiencia,situacao_trabalho,tipo_moradia,acesso_agua,acesso_esgoto,recebe_bolsa_familia,cod_municipio,renda_per_capita,vulnerabilidade_idade,infraestrutura_adequada,escolaridade_baixa,situacao_trabalho_precaria,superlotacao,renda_per_capita_norm,score_vulnerabilidade,nivel_vulnerabilidade
34135.0,28,F,0,50.0,2,1,0,1,0,0,0,2708600,25.0,0,0,1,1,0,-0.482864893089352,0.5948594679268057,Muito Alta
34152.0,30,F,0,0.0,3,1,0,1,1,1,1,2700508,0.0,0,1,1,1,0,-0.5651923734143823,0.46955771202431473,Alta
34167.0,18,F,0,125.0,2,1,0,1,1,0,1,2700300,62.5,0,0,1,1,0,-0.3593736726018065,0.557812101780542,Muito Alta
34227.0,80,M,0,954.0,1,1,0,1,0,0,0,2705507,954.0,1,0,1,1,0,2.5764242757887743,-0.12292728273663225,Média
34274.0,54,F,0,440.0,2,1,0,1,0,0,0,2708808,220.0,0,0,1,1,0,0.1592894534458845,0.40221316396623463,Alta
34430.0,78,M,0,937.0,1,1,0,1,1,1,0,2707701,937.0,1,1,1,1,0,2.5204415891677536,-0.2561324767503259,Média
34434.0,33,F,0,66.0,3,1,0,1,0,1,1,2700300,22.0,0,0,1,1,0,-0.4927441907283556,0.5978232572185067,Muito Alta
34509.0,75,F,0,788.0,1,1,0,1,1,1,0,2705507,788.0,1,1,1,1,0,2.0297698064305734,-0.10893094192917188,Média
34580.0,43,F,0,20.0,3,1,1,1,1,0,1,2700300,6.666666666666667,0,0,1,1,0,-0.5432383786610409,0.6129715135983121,Muito Alta
34638.0,23,F,0,79.0,1,1,1,1,1,1,1,2700607,79.0,0,1,1,1,0,-0.30503753558728647,0.3915112606761859,Alta
34646.0,27,F,0,30.0,2,1,1,1,1,0,1,2700300,15.0,0,0,1,1,0,-0.5157958852193641,0.6047387655658093,Muito Alta
34744.0,35,F,0,150.0,2,1,1,1,1,0,1,2704708,75.0,0,0,1,1,0,-0.31820993243929135,0.5454629797317874,Muito Alta
34750.0,51,F,0,0.0,3,1,0,1,0,0,1,2702900,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
34762.0,30,F,0,0.0,5,1,0,1,0,0,1,2701506,0.0,0,0,1,1,0,-0.5651923734143823,0.6195577120243146,Muito Alta
34842.0,41,M,0,85.0,1,1,0,1,1,1,1,2708600,85.0,0,1,1,1,0,-0.2852789403092792,0.3855836820927838,Alta
34848.0,44,F,0,50.0,3,1,0,1,1,1,1,2705507,16.666666666666668,0,1,1,1,0,-0.5103073865310288,0.4530922159593086,Alta
34891.0,21,F,0,33.0,3,1,0,1,1,0,1,2706448,11.0,0,0,1,1,0,-0.5289682820713689,0.6086904846214106,Muito Alta
34999.0,24,F,0,27.0,3,1,0,1,1,0,1,2707701,9.0,0,0,1,1,0,-0.5355544804973714,0.6106663441492114,Muito Alta
35026.0,36,F,0,41.0,3,1,0,1,1,0,1,2702207,13.666666666666666,0,0,1,1,0,-0.5201866841700324,0.6060560052510097,Muito Alta
35028.0,31,F,0,31.0,4,1,1,1,0,0,1,2702603,7.75,0,0,1,1,0,-0.5396708545136228,0.6119012563540868,Muito Alta
35035.0,25,F,2,50.0,3,1,0,1,0,0,1,2707701,16.666666666666668,0,0,1,1,0,-0.5103073865310288,0.6030922159593086,Muito Alta
35087.0,22,F,0,38.0,3,1,0,1,0,0,1,2703700,12.666666666666666,0,0,1,1,0,-0.5234797833830336,0.60704393501491,Muito Alta
35203.0,74,M,0,937.0,1,0,0,3,0,0,0,2700300,937.0,1,0,1,1,0,2.5204415891677536,-0.20613247675032592,Média
35371.0,53,F,0,388.0,4,1,1,1,0,1,0,2707701,97.0,0,0,1,1,0,-0.24576174975326467,0.5237285249259794,Muito Alta
35387.0,35,F,0,30.0,5,1,0,1,1,0,1,2704005,6.0,0,0,1,1,0,-0.5454337781363751,0.6136301334409126,Muito Alta
35394.0,39,F,0,16.0,3,1,0,1,1,0,1,2700300,5.333333333333333,0,0,1,1,0,-0.5476291776117092,0.6142887532835127,Muito Alta
35412.0,34,F,0,100.0,3,1,1,1,1,0,1,2704708,33.333333333333336,0,0,1,1,0,-0.45542239964767517,0.5866267198943026,Muito Alta
